Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S08000024,,65-74 years,,Females,,Coronary Heart Disease,48,,125.342734038386,,127.20343280245574
2013,S08000024,,75plus years,,Males,,Coronary Heart Disease,320,,1342.5634571009,,1454.3232713212456
2013,S08000024,,75plus years,,Females,,Coronary Heart Disease,322,,877.408103763045,,847.9837838126775
2013,S08000025,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,29.328380095806043
2013,S08000025,,45-64 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,316.5259708329765
2013,S08000025,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1419.7597599479673
2013,S08000025,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1037.6602564102564
2013,S08000026,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S08000026,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000026,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,205.5191038757685
2013,S08000026,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,30.432136335970785
2013,S08000026,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,604.3410693669447
2013,S08000026,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000026,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1563.8451342442197
2013,S08000026,,75plus years,,Females,,Coronary Heart Disease,,c,,c,752.3739616648464
2013,S08000028,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S08000028,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000028,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,89.76597549380811
2013,S08000028,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,50.21146752669898
2013,S08000028,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,186.35519153217612
2013,S08000028,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000028,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1046.9365201883245
2013,S08000028,,75plus years,,Females,,Coronary Heart Disease,,c,,c,473.0296199406934
2013,S08000029,,0-44 years,,Males,,Coronary Heart Disease,9,,9.25554561441397,,9.9571242545638
2013,S08000029,,0-44 years,,Females,,Coronary Heart Disease,2,,2.03347093153303,,2.1883133219028013
2013,S08000029,,45-64 years,,Males,,Coronary Heart Disease,62,,124.241027593531,,125.9971638484589
2013,S08000029,,45-64 years,,Females,,Coronary Heart Disease,11,,20.9975757344379,,21.123807015020446
2013,S08000029,,65-74 years,,Males,,Coronary Heart Disease,74,,396.910534220124,,416.5043728341582
2013,S08000029,,65-74 years,,Females,,Coronary Heart Disease,14,,68.7285223367698,,72.89455044102922
2013,S08000029,,75plus years,,Males,,Coronary Heart Disease,172,,1411.57160443168,,1547.3360270010307
2013,S08000029,,75plus years,,Females,,Coronary Heart Disease,166,,931.642159613874,,914.4028488405534
2013,S08000030,,0-44 years,,Males,,Coronary Heart Disease,13,,11.9412856171808,,13.339008308825472
2013,S08000030,,0-44 years,,Females,,Coronary Heart Disease,2,,1.84201073892261,,2.1036316177809886
2013,S08000030,,45-64 years,,Males,,Coronary Heart Disease,50,,90.9669789866278,,91.60462246630412
2013,S08000030,,45-64 years,,Females,,Coronary Heart Disease,11,,19.0972222222222,,19.215682719054797
2013,S08000030,,65-74 years,,Males,,Coronary Heart Disease,71,,340.985496109884,,340.0168169574186
2013,S08000030,,65-74 years,,Females,,Coronary Heart Disease,32,,138.540133344878,,139.7144133021822
2013,S08000030,,75plus years,,Males,,Coronary Heart Disease,187,,1218.63799283154,,1309.7202086329405
2013,S08000030,,75plus years,,Females,,Coronary Heart Disease,204,,891.335692751343,,849.0046416429857
2013,S08000031,,0-44 years,,Males,,Coronary Heart Disease,16,,4.93575802446285,,5.468104603415875
2013,S08000031,,0-44 years,,Females,,Coronary Heart Disease,3,,0.919915245142081,,0.8879070528593012
2013,S08000031,,45-64 years,,Males,,Coronary Heart Disease,211,,144.568077176058,,149.68325133615673
2013,S08000031,,45-64 years,,Females,,Coronary Heart Disease,56,,35.6177452695182,,36.82662962230764
2013,S08000031,,65-74 years,,Males,,Coronary Heart Disease,199,,436.892138136951,,457.3623395041555
2013,S08000031,,65-74 years,,Females,,Coronary Heart Disease,108,,204.60358056266,,206.7438391855597
2013,S08000031,,75plus years,,Males,,Coronary Heart Disease,415,,1289.70103797626,,1401.618181191703
2013,S08000031,,75plus years,,Females,,Coronary Heart Disease,500,,926.801238206454,,913.3725679391824
2013,S08000032,,0-44 years,,Males,,Coronary Heart Disease,13,,7.2792837184821,,7.530666153440667
2013,S08000032,,0-44 years,,Females,,Coronary Heart Disease,1,,0.555441381493804,,0.63416481399946
2013,S08000032,,45-64 years,,Males,,Coronary Heart Disease,136,,152.869105828135,,156.4167472805598
