Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S12000014,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,407.2198761236462
2013,S12000014,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,112.0393875293677
2013,S12000014,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1443.780793161029
2013,S12000014,,75plus years,,Females,,Coronary Heart Disease,,c,,c,993.6538780732474
2013,S12000017,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.364548880109308
2013,S12000017,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,3.344467845708263
2013,S12000017,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,130.45718158945354
2013,S12000017,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,11.43490914490602
2013,S12000017,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,339.6471779364764
2013,S12000017,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,145.099883556037
2013,S12000017,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1267.7597905796033
2013,S12000017,,75plus years,,Females,,Coronary Heart Disease,,c,,c,888.6093733402321
2013,S12000018,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,5.146075015070648
2013,S12000018,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000018,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,163.77978244164734
2013,S12000018,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,15.393411619826717
2013,S12000018,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,375.6480947357298
2013,S12000018,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,225.2945122862635
2013,S12000018,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1079.3648112930528
2013,S12000018,,75plus years,,Females,,Coronary Heart Disease,,c,,c,874.2551933655496
2013,S12000019,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S12000019,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000019,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,112.2396116060221
2013,S12000019,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,33.10408477651474
2013,S12000019,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,432.7084798983235
2013,S12000019,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,118.68526257354785
2013,S12000019,,75plus years,,Males,,Coronary Heart Disease,,c,,c,974.11462393729
2013,S12000019,,75plus years,,Females,,Coronary Heart Disease,,c,,c,804.341965175508
2013,S12000020,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,3.867232387518784
2013,S12000020,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000020,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,84.53940730604552
2013,S12000020,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,37.16526746397573
2013,S12000020,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,228.7414732514963
2013,S12000020,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,194.79409723312165
2013,S12000020,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1331.4934035432605
2013,S12000020,,75plus years,,Females,,Coronary Heart Disease,,c,,c,974.6229830015732
2013,S12000021,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,12.799260169517858
2013,S12000021,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000021,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,168.13599423919024
2013,S12000021,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,57.51597851450611
2013,S12000021,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,559.580551969043
2013,S12000021,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,234.358801477104
2013,S12000021,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1655.0882687705423
2013,S12000021,,75plus years,,Females,,Coronary Heart Disease,,c,,c,979.5301839197988
2013,S12000023,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S12000023,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000023,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,29.328380095806043
2013,S12000023,,45-64 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000023,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,316.5259708329765
2013,S12000023,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000023,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1419.7597599479673
2013,S12000023,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1037.6602564102564
2013,S12000026,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,3.381054502598582
2013,S12000026,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,4.361696824684712
2013,S12000026,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,81.00142528921921
2013,S12000026,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,11.36343907547909
2013,S12000026,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,311.6573959165013
2013,S12000026,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,98.37024748610918
2013,S12000026,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1537.301554052251
2013,S12000026,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1026.9928350821365
2013,S12000027,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S12000027,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000027,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,205.5191038757685
2013,S12000027,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,30.432136335970785
2013,S12000027,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,604.3410693669447
2013,S12000027,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000027,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1563.8451342442197
2013,S12000027,,75plus years,,Females,,Coronary Heart Disease,,c,,c,752.3739616648464
2013,S12000028,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.42012762619517
